Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-01-06 08:39 (PST),On Demand,Olivia Amato,10,Strength,Bodyweight,10 min Bodyweight Strength,2018-10-24 05:32 (PST),,,,,,,54,,,
2021-01-07 08:00 (-08),On Demand,Sam Yo,30,Cycling,Music,30 min Pop Ride,2021-01-06 07:30 (-08),358,199,54%,74,20.57,10.29,524,,,
2021-01-07 08:33 (-08),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-11-30 22:45 (-08),,,,,,,14,,,
2021-01-08 07:59 (PST),On Demand,Denis Morton,20,Yoga,Power,20 min Power Yoga,2020-09-30 14:47 (PST),,,,,,,77,,,
2021-01-09 15:56 (-08),On Demand,Jenn Sherman,20,Cycling,Music,20 min 2010s Ride,2021-01-07 08:54 (-08),253,211,52%,80,21.45,7.14,370,,,
2021-01-09 16:18 (-08),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-14 05:00 (-08),,,,,,,14,,,
2021-01-12 20:21 (-08),On Demand,,45,Cycling,Scenic Ride,45 min Alajuela Scenic Ride,,278,103,43%,69,16.30,12.23,407,,,
2021-01-13 08:41 (PST),On Demand,Chase Tucker,5,Stretching,Pre & Post-Run Stretch,5 min Post-Run Stretch,2020-10-25 07:00 (PST),,,,,,,3,,,
2021-01-14 08:26 (PST),On Demand,Denis Morton,20,Yoga,Power,20 min Power Yoga,2020-09-30 14:47 (PST),,,,,,,19,,,
2021-01-20 08:46 (-08),On Demand,Sam Yo,20,Cycling,Intervals,20 min HIIT Ride,2021-01-10 23:25 (-08),252,210,48%,85,20.75,6.92,369,,,
2021-01-20 09:09 (-08),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-11-30 22:45 (-08),,,,,,,14,,,
2021-01-20 09:17 (-08),On Demand,Ross Rayburn,10,Meditation,Emotions,10 min Meditation for Healing,2021-01-16 06:36 (-08),,,,,,,,,,
2021-01-22 08:33 (-08),On Demand,Sam Yo,45,Cycling,Music,45 min 2000s Ride,2021-01-17 03:55 (-08),539,200,52%,75,20.73,15.55,789,,,
2021-01-22 09:21 (-08),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-21 05:30 (-08),,,,,,,14,,,
2021-01-26 18:04 (-08),On Demand,Tunde Oyeneyin,20,Cycling,Intervals,20 min HIIT Ride,2021-01-12 14:23 (-08),26,117,42%,68,15.31,0.94,38,,,
2021-01-27 20:46 (PST),On Demand,Kristin McGee,10,Meditation,Emotions,10 min Empathy Meditation,2021-01-24 06:36 (PST),,,,,,,,,,
2021-01-28 20:14 (-08),On Demand,Denis Morton,20,Cycling,Music,20 min 2000s Ride,2021-01-28 08:56 (-08),209,174,47%,81,19.47,6.49,306,,,
2021-01-28 20:36 (-08),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-16 06:00 (-08),,,,,,,14,,,
